timestamp,phase,sensor_id,value
2026-06-01 08:00:00,pumping,bias_current,0.0
2026-06-01 08:00:00,pumping,bias_voltage,0.0
2026-06-01 08:00:00,pumping,fcva_current,0.0
2026-06-01 08:00:00,pumping,fcva_power,0.0
2026-06-01 08:00:00,pumping,fcva_voltage,0.0
2026-06-01 08:00:00,pumping,heater1_power,0.0
2026-06-01 08:00:00,pumping,heater2_power,0.0
2026-06-01 08:00:00,pumping,iongun_current,0.0
2026-06-01 08:00:00,pumping,iongun_voltage,0.0
2026-06-01 08:00:00,pumping,mfc_ar,0.0
2026-06-01 08:00:00,pumping,mfc_c2h2,0.0
2026-06-01 08:00:00,pumping,mfc_ch4,0.0
2026-06-01 08:00:00,pumping,mfc_h2,0.0
2026-06-01 08:00:00,pumping,mfc_he,0.0
2026-06-01 08:00:00,pumping,mfc_n2,0.0
2026-06-01 08:00:00,pumping,mfc_o2,0.0
2026-06-01 08:00:00,pumping,mfc_tms,0.0
2026-06-01 08:00:00,pumping,pecvd_current,0.0
2026-06-01 08:00:00,pumping,pecvd_power,0.0
2026-06-01 08:00:00,pumping,pecvd_voltage,0.0
2026-06-01 08:00:00,pumping,press_highvac,10.114438972350541
2026-06-01 08:00:00,pumping,press_lowvac,100191.76446741706
2026-06-01 08:00:00,pumping,rotation_speed,3.0001649203382215
2026-06-01 08:00:00,pumping,sputter_current,0.0
2026-06-01 08:00:00,pumping,sputter_power,0.0
2026-06-01 08:00:00,pumping,sputter_voltage,0.0
2026-06-01 08:00:00,pumping,temp_chamber,25.23851756361323
2026-06-01 08:00:00,pumping,temp_coolant,22.058146635573365
2026-06-01 08:00:00,pumping,temp_substrate,24.430130348469834
2026-06-01 08:00:01,pumping,bias_current,0.0
2026-06-01 08:00:01,pumping,bias_voltage,0.0
2026-06-01 08:00:01,pumping,fcva_current,0.0
2026-06-01 08:00:01,pumping,fcva_power,0.0
2026-06-01 08:00:01,pumping,fcva_voltage,0.0
2026-06-01 08:00:01,pumping,heater1_power,0.0
2026-06-01 08:00:01,pumping,heater2_power,0.0
2026-06-01 08:00:01,pumping,iongun_current,0.0
2026-06-01 08:00:01,pumping,iongun_voltage,0.0
2026-06-01 08:00:01,pumping,mfc_ar,0.0
2026-06-01 08:00:01,pumping,mfc_c2h2,0.0
2026-06-01 08:00:01,pumping,mfc_ch4,0.0
2026-06-01 08:00:01,pumping,mfc_h2,0.0
2026-06-01 08:00:01,pumping,mfc_he,0.0
2026-06-01 08:00:01,pumping,mfc_n2,0.0
2026-06-01 08:00:01,pumping,mfc_o2,0.0
2026-06-01 08:00:01,pumping,mfc_tms,0.0
2026-06-01 08:00:01,pumping,pecvd_current,0.0
2026-06-01 08:00:01,pumping,pecvd_power,0.0
2026-06-01 08:00:01,pumping,pecvd_voltage,0.0
2026-06-01 08:00:01,pumping,press_highvac,10.067214904590431
2026-06-01 08:00:01,pumping,press_lowvac,96750.86606930137
2026-06-01 08:00:01,pumping,rotation_speed,2.997504903881485
2026-06-01 08:00:01,pumping,sputter_current,0.0
2026-06-01 08:00:01,pumping,sputter_power,0.0
2026-06-01 08:00:01,pumping,sputter_voltage,0.0
2026-06-01 08:00:01,pumping,temp_chamber,24.999718451438522
2026-06-01 08:00:01,pumping,temp_coolant,21.929082490549728
2026-06-01 08:00:01,pumping,temp_substrate,24.296392297072845
2026-06-01 08:00:02,pumping,bias_current,0.0
2026-06-01 08:00:02,pumping,bias_voltage,0.0
2026-06-01 08:00:02,pumping,fcva_current,0.0
2026-06-01 08:00:02,pumping,fcva_power,0.0
2026-06-01 08:00:02,pumping,fcva_voltage,0.0
2026-06-01 08:00:02,pumping,heater1_power,0.0
2026-06-01 08:00:02,pumping,heater2_power,0.0
2026-06-01 08:00:02,pumping,iongun_current,0.0
2026-06-01 08:00:02,pumping,iongun_voltage,0.0
2026-06-01 08:00:02,pumping,mfc_ar,0.0
2026-06-01 08:00:02,pumping,mfc_c2h2,0.0
2026-06-01 08:00:02,pumping,mfc_ch4,0.0
2026-06-01 08:00:02,pumping,mfc_h2,0.0
2026-06-01 08:00:02,pumping,mfc_he,0.0
2026-06-01 08:00:02,pumping,mfc_n2,0.0
2026-06-01 08:00:02,pumping,mfc_o2,0.0
2026-06-01 08:00:02,pumping,mfc_tms,0.0
2026-06-01 08:00:02,pumping,pecvd_current,0.0
2026-06-01 08:00:02,pumping,pecvd_power,0.0
2026-06-01 08:00:02,pumping,pecvd_voltage,0.0
2026-06-01 08:00:02,pumping,press_highvac,9.747160402392279
2026-06-01 08:00:02,pumping,press_lowvac,94477.91888872803
2026-06-01 08:00:02,pumping,rotation_speed,3.001513190308863
2026-06-01 08:00:02,pumping,sputter_current,0.0
2026-06-01 08:00:02,pumping,sputter_power,0.0
