timestamp,phase,sensor_id,value,rule,threshold
2026-06-01 08:07:00,pumping,pressure_p1,4.306050155495756,threshold,2.0
2026-06-01 08:07:01,pumping,pressure_p1,4.126198797322104,threshold,2.0
2026-06-01 08:07:02,pumping,pressure_p1,4.235695932586471,threshold,2.0
2026-06-01 08:07:03,pumping,pressure_p1,4.1856104759463735,threshold,2.0
2026-06-01 08:07:04,pumping,pressure_p1,4.187781826547013,threshold,2.0
2026-06-01 08:07:05,pumping,pressure_p1,4.195763615880111,threshold,2.0
2026-06-01 08:07:06,pumping,pressure_p1,4.2296909333761485,threshold,2.0
2026-06-01 08:07:07,pumping,pressure_p1,4.217600484032357,threshold,2.0
2026-06-01 08:07:08,pumping,pressure_p1,4.155519281703931,threshold,2.0
2026-06-01 08:07:09,pumping,pressure_p1,4.162987030409679,threshold,2.0
2026-06-01 08:07:10,pumping,pressure_p1,4.110676591759948,threshold,2.0
2026-06-01 08:07:11,pumping,pressure_p1,4.207262495443045,threshold,2.0
2026-06-01 08:07:12,pumping,pressure_p1,4.22238076257043,threshold,2.0
2026-06-01 08:07:13,pumping,pressure_p1,4.249324993959564,threshold,2.0
2026-06-01 08:07:14,pumping,pressure_p1,4.252427060962453,threshold,2.0
2026-06-01 08:07:15,pumping,pressure_p1,4.205027905611373,threshold,2.0
2026-06-01 08:07:16,pumping,pressure_p1,4.176885738296836,threshold,2.0
2026-06-01 08:07:17,pumping,pressure_p1,4.302153902341038,threshold,2.0
2026-06-01 08:07:18,pumping,pressure_p1,4.145063245028229,threshold,2.0
2026-06-01 08:07:19,pumping,pressure_p1,4.1207499444557545,threshold,2.0
2026-06-01 08:07:20,pumping,pressure_p1,4.163080422739515,threshold,2.0
2026-06-01 08:07:21,pumping,pressure_p1,4.19339817550745,threshold,2.0
2026-06-01 08:07:22,pumping,pressure_p1,4.248761117605869,threshold,2.0
2026-06-01 08:07:23,pumping,pressure_p1,4.154741972697034,threshold,2.0
2026-06-01 08:07:24,pumping,pressure_p1,4.094715585143125,threshold,2.0
2026-06-01 08:07:25,pumping,pressure_p1,4.210151892512568,threshold,2.0
2026-06-01 08:07:26,pumping,pressure_p1,4.148361549817142,threshold,2.0
2026-06-01 08:07:27,pumping,pressure_p1,4.115071185836349,threshold,2.0
2026-06-01 08:07:28,pumping,pressure_p1,4.120523954722408,threshold,2.0
2026-06-01 08:07:29,pumping,pressure_p1,4.170342111983478,threshold,2.0
2026-06-01 08:07:30,pumping,pressure_p1,4.073203527156716,threshold,2.0
2026-06-01 08:07:31,pumping,pressure_p1,4.232776230719484,threshold,2.0
2026-06-01 08:07:32,pumping,pressure_p1,4.148467342592663,threshold,2.0
2026-06-01 08:07:33,pumping,pressure_p1,4.156898068143607,threshold,2.0
2026-06-01 08:07:34,pumping,pressure_p1,4.204650446201643,threshold,2.0
2026-06-01 08:07:35,pumping,pressure_p1,4.112957750968906,threshold,2.0
2026-06-01 08:07:36,pumping,pressure_p1,4.15112746135056,threshold,2.0
2026-06-01 08:07:37,pumping,pressure_p1,4.141695169932103,threshold,2.0
2026-06-01 08:07:38,pumping,pressure_p1,4.167756656230496,threshold,2.0
2026-06-01 08:07:39,pumping,pressure_p1,4.263388142886891,threshold,2.0
2026-06-01 08:07:40,pumping,pressure_p1,4.085244495066512,threshold,2.0
2026-06-01 08:07:41,pumping,pressure_p1,4.13440065882786,threshold,2.0
2026-06-01 08:07:42,pumping,pressure_p1,4.240894552703487,threshold,2.0
